chainage,true_wse,raster_value
-17.799999999999727,25.786,25.6261005
-17.799999999999727,25.786,25.6299
-17.799999999999727,25.786,25.6345997
-17.799999999999727,25.786,25.6322994
-17.799999999999727,25.786,25.6284008
-17.799999999999727,25.786,25.6268005
-17.799999999999727,25.786,25.6243992
-18.199999999999815,25.786,25.6375999
-18.199999999999815,25.786,25.6341991
-18.199999999999815,25.786,25.6308002
-18.199999999999815,25.786,25.6341
-18.59999999999991,25.787,25.6567001
-18.59999999999991,25.787,25.6671009
-18.59999999999991,25.787,25.6674004
-18.59999999999991,25.787,25.6658001
-18.59999999999991,25.787,25.6523991
-18.59999999999991,25.787,25.6410007
-20.59999999999991,25.787,25.6637001
-21.09999999999991,25.788,25.6254997
-21.09999999999991,25.788,25.6210003
-21.09999999999991,25.788,25.6422997
-21.09999999999991,25.788,25.6581001
-21.09999999999991,25.788,25.6643009
-21.59999999999991,25.788,25.6357994
-21.59999999999991,25.788,25.6340008
-21.59999999999991,25.788,25.6334991
-21.59999999999991,25.788,25.6322994
-22.0,25.788,25.6434002
-22.0,25.788,25.6429996
-22.0,25.788,25.6425991
-22.0,25.788,25.6532993
-22.0,25.788,25.6499004
-22.0,25.788,25.6502991
-22.0,25.788,25.6495991
-22.0,25.788,25.6369991
-23.699999999999815,25.789,25.6602993
-23.699999999999815,25.789,25.6588993
-23.699999999999815,25.789,25.6583996
-23.699999999999815,25.789,25.6536999
-23.699999999999815,25.789,25.6560001
-23.699999999999815,25.789,25.6546993
-23.699999999999815,25.789,25.6420994
-23.699999999999815,25.789,25.6525993
-23.699999999999815,25.789,25.6392002
-23.699999999999815,25.789,25.6373997
-23.699999999999815,25.789,25.6368999
-24.199999999999815,25.789,25.6406994
-24.199999999999815,25.789,25.6441994
-24.199999999999815,25.789,25.6513004
-24.199999999999815,25.789,25.6499004
-24.199999999999815,25.789,25.6608009
-24.699999999999815,25.789,25.6215992
-24.699999999999815,25.789,25.6207008
-24.699999999999815,25.789,25.6019993
-24.699999999999815,25.789,25.5990009
-24.699999999999815,25.789,25.6128006
-24.699999999999815,25.789,25.6292992
-25.299999999999727,25.789,25.6273003
-25.299999999999727,25.789,25.6333008
-25.299999999999727,25.789,25.6382999
-25.299999999999727,25.789,25.6282005
-25.299999999999727,25.789,25.6156998
-25.299999999999727,25.789,25.6182995
-25.90000000000009,25.789,25.6483994
-25.90000000000009,25.789,25.6448994
-25.90000000000009,25.789,25.6327991
-25.90000000000009,25.789,25.6273994
-25.90000000000009,25.789,25.6175003
-25.90000000000009,25.789,25.6173
-26.5,25.79,25.6739998
-26.5,25.79,25.6692009
-26.5,25.79,25.6676006
-26.5,25.79,25.6783009
-26.5,25.79,25.6648998
-26.5,25.79,25.6606007
-27.0,25.79,25.6597996
-27.0,25.79,25.6574001
-27.0,25.79,25.6511993
-27.0,25.79,25.6562996
-27.0,25.79,25.6613998
-27.0,25.79,25.6697006
-27.59999999999991,25.79,25.6842995
-27.59999999999991,25.79,25.6758995
-27.59999999999991,25.79,25.6637001
-27.59999999999991,25.79,25.6714993
-27.59999999999991,25.79,25.6744003
-27.59999999999991,25.79,25.6737003
-28.199999999999815,25.79,25.7497005
-28.199999999999815,25.79,25.7262001
-28.199999999999815,25.79,25.698
-28.199999999999815,25.79,25.6723003
