chainage,true_wse,raster_value
-17.799999999999727,25.786,25.7675991
-17.799999999999727,25.786,25.7663994
-17.799999999999727,25.786,25.7630997
-17.799999999999727,25.786,25.7483006
-17.799999999999727,25.786,25.7350006
-17.799999999999727,25.786,25.7371006
-17.799999999999727,25.786,25.7423992
-18.199999999999815,25.786,25.7996006
-18.199999999999815,25.786,25.802
-18.199999999999815,25.786,25.8073997
-18.199999999999815,25.786,25.7824993
-18.59999999999991,25.787,25.7824001
-18.59999999999991,25.787,25.7831001
-18.59999999999991,25.787,25.8062992
-18.59999999999991,25.787,25.8052998
-18.59999999999991,25.787,25.8054008
-18.59999999999991,25.787,25.8008003
-19.299999999999727,25.787,25.7598
-19.299999999999727,25.787,25.7756004
-19.299999999999727,25.787,25.7730007
-19.299999999999727,25.787,25.7954998
-19.299999999999727,25.787,25.7945004
-19.299999999999727,25.787,25.7793007
-19.299999999999727,25.787,25.7870998
-19.699999999999815,25.787,25.7936001
-19.699999999999815,25.787,25.7929001
-19.699999999999815,25.787,25.7917995
-19.699999999999815,25.787,25.7562008
-19.699999999999815,25.787,25.7493992
-19.699999999999815,25.787,25.7381001
-19.699999999999815,25.787,25.7499008
-19.699999999999815,25.787,25.7495003
-19.699999999999815,25.787,25.7602005
-20.59999999999991,25.787,25.7646999
-20.59999999999991,25.787,25.7763996
-20.59999999999991,25.787,25.7847004
-20.59999999999991,25.787,25.7854004
-20.59999999999991,25.787,25.7966995
-20.59999999999991,25.787,25.7968006
-20.59999999999991,25.787,25.7893009
-20.59999999999991,25.787,25.7824993
-21.09999999999991,25.788,25.7635994
-21.09999999999991,25.788,25.7688999
-21.09999999999991,25.788,25.7702999
-21.09999999999991,25.788,25.7544003
-21.09999999999991,25.788,25.7530003
-21.59999999999991,25.788,25.7710991
-21.59999999999991,25.788,25.7698994
-21.59999999999991,25.788,25.7796993
-21.59999999999991,25.788,25.7754993
-22.0,25.788,25.7784004
-22.0,25.788,25.7721996
-22.0,25.788,25.7658005
-22.0,25.788,25.7751007
-22.0,25.788,25.7926998
-22.0,25.788,25.8022995
-22.0,25.788,25.8017006
-22.0,25.788,25.7992992
-22.0,25.788,25.8034992
-22.0,25.788,25.7898006
-22.0,25.788,25.7889004
-22.0,25.788,25.7845001
-23.699999999999815,25.789,25.8369999
-23.699999999999815,25.789,25.8115997
-23.699999999999815,25.789,25.8171997
-23.699999999999815,25.789,25.8314991
-23.699999999999815,25.789,25.8505001
-23.699999999999815,25.789,25.8486004
-23.699999999999815,25.789,25.8437996
-23.699999999999815,25.789,25.8267994
-23.699999999999815,25.789,25.7950993
-23.699999999999815,25.789,25.7730999
-23.699999999999815,25.789,25.7675991
-23.699999999999815,25.789,25.7572994
-23.699999999999815,25.789,25.7525005
-23.699999999999815,25.789,25.7642994
-23.699999999999815,25.789,25.7640991
-23.699999999999815,25.789,25.7824001
-24.199999999999815,25.789,25.8477993
-24.199999999999815,25.789,25.8418007
-24.199999999999815,25.789,25.8514004
-24.199999999999815,25.789,25.8381996
-24.199999999999815,25.789,25.8446007
-24.699999999999815,25.789,25.8509007
-24.699999999999815,25.789,25.8523998
-24.699999999999815,25.789,25.8532009
-66.29999999999973,25.805,26.4316998
-66.29999999999973,25.805,26.3558006
-66.29999999999973,25.805,26.2677994
-66.29999999999973,25.805,26.2028008
-65.79999999999973,25.805,26.1436996
-65.79999999999973,25.805,26.1135006
-65.79999999999973,25.805,26.0851994
-65.79999999999973,25.805,26.0557995
-65.79999999999973,25.805,26.0307999
-65.29999999999973,25.805,26.0130005
-65.29999999999973,25.805,25.9827995
-65.29999999999973,25.805,25.9493008
-65.29999999999973,25.805,25.9071007
-65.29999999999973,25.805,25.8789997
-65.29999999999973,25.805,25.8495998
-64.79999999999973,25.805,25.8355999
