chainage,true_wse,raster_value
90.6,238.000216116,238.0467377
90.4,238.000221409,238.0315399
90.4,238.000221409,238.0206451
90.2,238.000226702,237.9990845
90.2,238.000226702,238.0328979
90.0,238.000231996,238.0387268
89.79999999999998,238.000237289,238.0358887
89.59999999999998,238.000242582,238.0311279
89.4,238.000247876,238.0175629
89.0,238.000258462,238.0132751
88.79999999999998,238.000263756,238.0262909
88.59999999999998,238.000269049,238.0178223
88.4,238.000274342,238.0176697
88.2,238.000279636,237.9845123
88.0,238.000284929,237.9654083
88.0,238.000284929,237.9683685
87.79999999999998,238.000290222,237.979248
87.59999999999998,238.000295516,237.9617767
87.4,238.000300809,237.9819946
87.2,238.000306102,237.9862061
87.0,238.000311396,237.9819794
86.79999999999998,238.000316689,237.9970551
86.59999999999998,238.000321982,237.9786835
86.4,238.000327276,237.9776917
86.2,238.000332569,238.024353
86.0,238.000337862,238.0120544
85.79999999999998,238.000343155,238.029892
85.59999999999998,238.000348449,238.0173492
85.4,238.000353742,238.0051575
85.2,238.000359035,238.0062714
85.0,238.000364329,238.0072021
84.79999999999998,238.000369622,238.1242218
84.59999999999998,238.000374915,238.0618744
84.4,238.000380209,238.0428314
84.2,238.000385502,238.0246124
84.0,238.000390795,238.0473938
83.79999999999998,238.000396089,238.0671997
83.79999999999998,238.000396089,238.0780334
83.59999999999998,238.000401382,237.9869843
83.59999999999998,238.000401382,238.0867157
83.4,238.000406675,237.9776459
83.2,238.000411969,237.9886627
83.0,238.000417262,237.9904633
82.79999999999998,238.000422555,238.0041962
82.59999999999998,238.000427849,238.0224609
82.4,238.000433142,238.0232086
82.2,238.000438435,238.0341034
82.0,238.000443729,238.0125122
81.79999999999998,238.000449022,237.9863892
81.59999999999998,238.000454315,237.9856415
81.4,238.000459609,237.9845886
81.2,238.000464902,237.9928894
81.0,238.000470195,238.0008545
80.79999999999998,238.000475489,237.9963074
80.59999999999998,238.000480782,237.9980316
80.4,238.000486075,238.0081635
80.2,238.000491369,238.0258484
80.0,238.000496662,238.1503448
79.79999999999998,238.000501955,238.0510559
79.59999999999998,238.000507249,238.0119171
79.59999999999998,238.000507249,237.9846802
79.4,238.000512542,238.0591583
79.2,238.000517835,238.0909576
79.0,238.000523129,238.0256958
79.0,238.000523129,238.0489502
78.79999999999998,238.000528422,238.0328827
78.59999999999998,238.000533715,238.0332031
78.4,238.000539008,238.0325317
78.2,238.000544302,238.0233765
78.0,238.000549595,238.0483856
77.79999999999998,238.000554888,238.0560608
77.59999999999998,238.000560182,238.096405
77.59999999999998,238.000560182,238.1153259
77.59999999999998,238.000560182,238.0838165
77.4,238.000565475,238.0337372
77.2,238.000570768,237.9976349
77.0,238.000576062,237.9838867
76.79999999999998,238.000581355,237.9809265
76.59999999999998,238.000586648,238.0599518
76.59999999999998,238.000586648,238.0205231
76.4,238.000591942,238.110672
76.2,238.000597235,238.023941
76.0,238.000602528,237.9804382
75.79999999999998,238.000607822,237.9871521
75.59999999999998,238.000613115,238.0088501
75.4,238.000618408,237.9883118
75.2,238.000623702,237.9833832
75.0,238.000628995,237.9785004
74.79999999999998,238.000634288,237.9862213
74.59999999999998,238.000639582,237.982254
74.4,238.000644875,237.9881134
74.2,238.000650168,237.95961
74.0,238.000655462,238.0138855
73.79999999999998,238.000660755,238.0148163
73.59999999999998,238.000666048,238.0130768
73.4,238.000671342,237.9761963
73.2,238.000676635,237.9497375
73.0,238.000681928,237.9658966
72.79999999999998,238.000687222,237.9664001
72.59999999999998,238.000692515,238.0132751
72.4,238.000697808,238.1186981
72.2,238.000703102,238.0532532
72.0,238.000708395,237.987854
71.8,238.000713688,237.9774475
71.6,238.000718981,237.9943695
71.4,238.000724275,237.9839935
71.2,238.000729568,238.042572
71.0,238.000734861,238.0118713
70.8,238.000740155,237.9996185
70.6,238.000745448,237.938446
70.4,238.000750741,237.9900055
70.2,238.000756035,238.0215149
70.0,238.000761328,238.0081635
69.8,238.000766621,238.0202942
69.6,238.000771915,237.9779663
69.6,238.000771915,238.0046692
69.4,238.000777208,237.9865265
69.2,238.000782501,237.978714
69.0,238.000787795,238.0084076
68.8,238.000793088,237.944519
68.6,238.000798381,237.9598541
68.4,238.000803675,238.0036926
68.2,238.000808968,238.0105286
68.0,238.000814261,237.7809753
67.8,238.000819555,237.9457703
67.6,238.000824848,238.0114899
67.4,238.000830141,237.9099731
67.2,238.000835435,237.8707581
67.0,238.000840728,237.9067535
66.8,238.000846021,237.8467407
66.6,238.000851315,237.8279419
66.4,238.000856608,237.8723755
66.2,238.000861901,237.9176941
66.0,238.000867195,237.8607635
66.0,238.000867195,237.9315948
65.8,238.000872488,237.7281036
65.6,238.000877781,237.9831085
65.4,238.000883075,238.0076447
65.2,238.000888368,237.9698944
65.0,238.000893661,237.9855499
64.8,238.000898955,238.1400757
64.6,238.000904248,238.0254211
64.4,238.000909541,237.9440613
64.2,238.000914834,237.9223633
64.0,238.000920128,237.9627991
63.8,238.000925421,237.9756165
63.6,238.000930714,237.9844818
63.4,238.000936008,237.9877472
63.2,238.000941301,238.002655
63.0,238.000946594,237.9792175
62.8,238.000951888,237.984848
62.6,238.000957181,237.9444733
62.4,238.000962474,238.017746
62.2,238.000967768,238.0124969
62.0,238.000973061,237.9714355
61.8,238.000978354,238.0073242
61.6,238.000983648,237.9814148
61.4,238.000988941,238.0574188
61.4,238.000988941,238.0474091
61.2,238.000994234,237.9764709
61.0,238.000999528,237.9689026
60.8,238.001004821,237.9843597
60.6,238.001010114,238.0005646
60.4,238.001015408,237.9871063
60.2,238.001020701,237.9730225
60.0,238.001025994,237.9702301
59.8,238.001031288,238.0133362
59.6,238.001036581,238.0049286
59.4,238.001041874,238.0250702
59.2,238.001047168,238.0094604
59.0,238.001052461,237.9857178
58.8,238.001057754,237.9914246
58.6,238.001063048,237.9951324
58.4,238.001068341,238.0037689
58.2,238.001073634,238.041275
58.2,238.001073634,237.9836884
58.0,238.001078928,238.0765686
58.0,238.001078928,238.084198
57.8,238.001084221,238.0603333
57.6,238.001089514,238.0142975
57.4,238.001094808,237.9992371
57.2,238.001100101,238.0151825
57.0,238.001105394,238.062027
56.8,238.001110687,238.0482941
56.6,238.001115981,238.035141
56.6,238.001115981,238.0369415
56.4,238.001121274,238.0316315
56.2,238.001126567,237.9863739
56.0,238.001131861,237.9806824
55.8,238.001137154,237.9850464
55.6,238.001142447,238.0112915
55.4,238.001147741,238.0198822
55.2,238.001153034,238.0131836
55.0,238.001158327,238.0515747
54.8,238.001163621,238.0855255
54.6,238.001168914,238.0389252
54.4,238.001174207,237.9667969
54.4,238.001174207,238.0022278
54.2,238.001179501,237.9489288
54.0,238.001184794,237.943634
53.8,238.001190087,237.9661407
53.6,238.001195381,238.0105438
53.4,238.001200674,238.0096283
53.2,238.001205967,238.0196533
53.0,238.001211261,237.9848022
52.8,238.001216554,237.9810333
52.6,238.001221847,237.9942932
52.4,238.001227141,238.0085754
52.2,238.001232434,237.9971619
52.0,238.001237727,238.0026245
51.8,238.001243021,237.9903259
51.6,238.001248314,237.9815063
51.4,238.001253607,237.9806213
51.2,238.001258901,238.0035248
51.0,238.001264194,238.0262604
50.8,238.001269487,237.9870911
50.6,238.001274781,238.0158691
50.4,238.001280074,238.0348969
50.2,238.001285367,238.0066071
50.0,238.00129066,238.0632782
49.8,238.001295954,238.1226196
49.6,238.001301247,238.060257
49.4,238.00130654,238.0101318
49.2,238.001311834,238.0228729
49.0,238.001317127,238.0118103
48.8,238.00132242,238.0175171
48.6,238.001327714,237.9916077
48.4,238.001333007,237.890274
48.4,238.001333007,237.9088745
48.2,238.0013383,238.1397858
48.0,238.001343594,238.0207825
47.8,238.001348887,238.0161285
47.6,238.00135418,237.990509
47.4,238.001359474,237.95401
47.2,238.001364767,237.940918
47.0,238.00137006,237.9659271
46.8,238.001375354,237.9815216
46.6,238.001380647,237.9752045
46.4,238.00138594,238.0084076
46.2,238.001391234,238.0375214
46.0,238.001396527,238.0600281
45.8,238.00140182,238.0822754
45.6,238.001407114,238.1585236
45.4,238.001412407,238.1090851
45.2,238.0014177,238.0894318
45.0,238.001422994,238.1180573
44.8,238.001428287,238.0092316
44.6,238.00143358,237.9621429
44.4,238.001438874,237.9354858
44.2,238.001444167,237.9076691
44.0,238.00144946,237.9376068
43.8,238.001454754,238.008316
43.6,238.001460047,238.2216492
43.4,238.00146534,238.1511993
43.2,238.001470634,238.0675659
43.0,238.001475927,238.039566
42.8,238.00148122,238.0183411
42.6,238.001486513,238.0099335
42.4,238.001491807,238.0338745
42.2,238.0014971,238.0887146
42.2,238.0014971,238.0555725
42.0,238.001502393,238.0453186
41.8,238.001507687,238.0095215
41.6,238.00151298,238.0031738
41.4,238.001518273,238.0125732
41.2,238.001523567,238.0023956
41.0,238.00152886,237.9828491
40.8,238.001534153,237.9824982
40.6,238.001539447,237.985199
40.4,238.00154474,237.973999
40.2,238.001550033,238.0193634
40.0,238.001555327,238.0253754
39.8,238.00156062,238.0370789
39.6,238.001565913,238.0252533
39.4,238.001571207,238.0285187
39.2,238.0015765,238.0522003
39.0,238.001581793,238.0329285
38.8,238.001587087,238.015686
38.6,238.00159238,238.0174561
38.4,238.001597673,238.0419922
38.2,238.001602967,238.0260925
38.0,238.00160826,238.0336761
37.8,238.001613553,238.051178
37.6,238.001618847,238.0450439
37.4,238.00162414,238.0158234
37.2,238.001629433,238.0451355
37.0,238.001634727,238.0448761
36.8,238.00164002,238.0158539
36.6,238.001645313,238.0334167
36.4,238.001650607,238.0307465
36.2,238.0016559,238.0323029
36.0,238.001661193,238.0070953
35.8,238.001666486,237.9556427
35.6,238.00167178,237.9811554
35.4,238.001677073,237.9891663
35.2,238.001682366,237.9777832
35.0,238.00168766,237.9975739
34.8,238.001692953,238.0515289
34.6,238.001698246,238.0733643
34.4,238.00170354,237.8942719
34.2,238.001708833,238.0495911
34.0,238.001714126,238.0578766
33.8,238.00171942,238.0819855
33.6,238.001724713,238.1010132
33.4,238.001730006,238.2509308
33.2,238.0017353,238.1575623
33.0,238.001740593,238.0672455
32.8,238.001745886,238.0741119
32.6,238.00175118,238.0509033
32.4,238.001756473,238.2811432
32.2,238.001761766,238.2211761
32.0,238.00176706,238.081192
31.8,238.001772353,238.009491
31.6,238.001777646,238.0330505
31.4,238.00178294,238.0294647
31.2,238.001788233,237.9910889
31.0,238.001793526,238.0747528
30.8,238.00179882,238.0549622
30.6,238.001804113,238.2238312
30.6,238.001804113,238.1627197
30.4,238.001809406,237.7060394
30.2,238.0018147,237.4956665
30.0,238.001819993,237.690506
29.8,238.001825286,238.2900848
29.6,238.00183058,238.2653351
29.4,238.001835873,238.2239838
29.2,238.001841166,238.2628174
29.0,238.00184646,238.1965485
28.8,238.001851753,238.1055756
28.6,238.001857046,238.1029663
28.4,238.001862339,238.1322174
28.2,238.001867633,238.0570374
28.0,238.001872926,237.9401703
27.8,238.001878219,237.9111023
27.6,238.001883513,238.2475128
27.4,238.001888806,238.1887512
27.2,238.001894099,238.0809937
27.0,238.001899393,238.2069092
26.8,238.001904686,238.4362793
26.6,238.001909979,238.8125916
26.4,238.001915273,238.6508179
26.2,238.001920566,238.5018005
26.0,238.001925859,238.4208069
25.8,238.001931153,238.3422546
25.6,238.001936446,238.1572876
25.6,238.001936446,238.2749329
25.4,238.001941739,238.0155792
25.2,238.001947033,238.043869
25.0,238.001952326,238.1392975
