chainage,true_wse,raster_value
0.0,237.987485388,238.397995
0.2,237.987453764,238.6029968
0.4,237.987422153,238.6340027
0.6,237.987390555,238.7140045
0.8,237.987358971,238.776001
1.0,237.9873274,238.9100037
1.2,237.987295843,238.9179993
1.4,237.987264299,238.8820038
1.6,237.987232769,238.8419952
1.8,237.987201252,238.8639984
2.0,237.987169748,238.8650055
2.2,237.987138258,238.8439941
2.4,237.987106781,238.8240051
2.6,237.987075317,238.8679962
2.8,237.987043868,238.7440033
3.0,237.987012431,238.7969971
3.2,237.986981008,238.7579956
3.4,237.986949598,238.9459991
3.6,237.986918202,239.0460052
3.8,237.986886819,238.9550018
4.0,237.98685545,238.8699951
4.2,237.986824094,238.9730072
4.4,237.986792751,238.9600067
4.6,237.986761422,238.9210052
4.8,237.986730107,238.9160004
5.0,237.986698804,238.8289948
5.2,237.986667515,238.7899933
5.4,237.98663624,238.6660004
5.6,237.986604978,238.6410065
5.8,237.986573729,238.6060028
6.0,237.986542494,238.7100067
6.2,237.986511273,238.701004
6.4,237.986480064,238.6889954
6.6,237.986448869,238.798996
6.8,237.986417688,238.6210022
7.0,237.98638652,238.8009949
7.2,237.986355365,238.6450043
7.4,237.986324224,238.6690063
7.6,237.986293097,238.7149963
7.8,237.986261982,238.6799927
8.0,237.986230881,238.6040039
8.2,237.986199794,238.5910034
8.4,237.98616872,238.6620026
8.6,237.986137659,238.5859985
8.8,237.986106612,238.0160065
9.0,237.986075578,238.0970001
9.2,237.986044558,238.3509979
9.4,237.986013551,238.4819946
9.6,237.985982558,238.8419952
9.8,237.985951578,238.9140015
10.0,237.985920611,238.8959961
10.2,237.985889658,239.0050049
10.4,237.985858718,239.0189972
10.6,237.985827792,239.029007
10.8,237.985796879,239.0310059
11.0,237.985765979,238.7819977
11.2,237.985735093,238.7920074
11.4,237.985704221,238.7709961
11.6,237.985673361,238.6990051
11.8,237.985642516,238.7669983
12.0,237.985611683,238.8000031
12.2,237.985580864,238.7389984
12.4,237.985550059,237.947998
12.6,237.985519267,237.9600067
12.8,237.985488488,238.576004
13.0,237.985457723,238.7380066
13.2,237.985426971,238.9199982
13.4,237.985396232,238.9850006
13.6,237.985365508,238.8619995
13.8,237.985334796,238.9859924
14.0,237.985304098,239.0690002
14.2,237.985273413,238.9869995
14.4,237.985242742,238.9730072
14.6,237.985212084,239.0169983
14.8,237.98518144,238.9450073
15.0,237.985150809,238.7680054
15.2,237.985120191,238.7819977
15.4,237.985089587,238.75
15.6,237.985058996,238.7059937
15.8,237.985028419,238.7669983
16.0,237.984997855,238.7610016
16.2,237.984967305,238.6999969
16.4,237.984936768,238.6439972
16.6,237.984906244,238.7489929
16.8,237.984875734,238.7169952
17.0,237.984845237,238.7140045
17.2,237.984814754,238.6679993
17.4,237.984784284,238.5119934
17.6,237.984753828,238.6260071
17.8,237.984723385,238.7709961
18.0,237.984692955,238.5429993
18.2,237.984662539,238.4210052
18.4,237.984632136,238.5500031
18.6,237.984601747,238.6670074
18.8,237.984571371,238.6029968
19.0,237.984541008,238.7019958
19.2,237.984510659,238.5570068
19.4,237.984480324,238.4850006
19.6,237.984450001,238.3869934
19.8,237.984419693,238.5709991
20.0,237.984389397,238.677002
20.2,237.984359115,238.7330017
20.4,237.984328847,238.7109985
20.6,237.984298592,238.8040009
20.8,237.98426835,238.8480072
21.0,237.984238122,238.9420013
21.2,237.984207907,238.8840027
21.4,237.984177706,238.9089966
21.6,237.984147518,239.0549927
21.8,237.984117343,239.125
22.0,237.984087182,239.0440063
22.2,237.984057035,238.9459991
22.4,237.9840269,238.8999939
22.6,237.98399678,238.9589996
22.8,237.983966672,238.9190063
23.0,237.983936578,238.8820038
23.2,237.983906498,238.7810059
23.4,237.983876431,238.7599945
23.6,237.983846377,238.9309998
23.8,237.983816337,238.848999
24.0,237.98378631,238.7709961
24.2,237.983756296,238.8399963
24.4,237.983726296,238.9550018
24.6,237.98369631,238.7590027
24.8,237.983666337,238.7420044
25.0,237.983636377,238.8399963
25.2,237.983606431,238.7640076
25.4,237.983576498,238.7140045
25.6,237.983546578,238.6869965
25.8,237.983516672,238.651001
26.0,237.98348678,238.5749969
26.2,237.983456901,238.5809937
26.4,237.983427035,238.5540009
26.6,237.983397183,238.602005
26.8,237.983367344,238.6809998
27.0,237.983337518,238.6820068
27.2,237.983307706,238.7140045
27.4,237.983277908,238.7960052
27.6,237.983248122,238.8569946
27.8,237.983218351,238.8630066
28.0,237.983188592,238.8450012
28.2,237.983158847,238.923996
28.4,237.983129116,239.0110016
28.6,237.983099398,238.8730011
28.8,237.983069693,238.8710022
29.0,237.983040002,238.8710022
29.2,237.983010324,238.927002
29.4,237.98298066,239.0099945
29.6,237.982951009,238.947998
29.8,237.982921372,238.7910004
30.0,237.982891747,238.7550049
30.2,237.982862137,238.822998
30.4,237.98283254,238.6750031
30.6,237.982802956,238.7460022
30.8,237.982773385,238.7579956
31.0,237.982743828,238.7019958
31.2,237.982714285,237.977005
31.4,237.982684755,238.223999
31.6,237.982655238,238.1730042
31.8,237.982625735,238.1390076
32.0,237.982596245,238.0839996
