chainage,true_wse,raster_value
75.9,212.67928308,212.435257
75.79999999999998,212.679343288,212.4327545
75.7,212.679403502,212.4447784
75.59999999999998,212.67946372,212.4676208
75.5,212.679523943,212.4957428
75.4,212.679584171,212.5104675
75.29999999999998,212.679644403,212.502533
75.2,212.679704641,212.4847107
75.09999999999998,212.679764883,212.4661407
75.0,212.67982513,212.4698334
74.9,212.679885382,212.4570465
74.79999999999998,212.679945638,212.4572296
74.7,212.6800059,212.4594727
74.59999999999998,212.680066166,212.462326
74.5,212.680126437,212.4511261
74.4,212.680186713,212.4476776
74.29999999999998,212.680246993,212.4524689
74.2,212.680307279,212.4683685
74.09999999999998,212.680367569,212.4637451
74.0,212.680427864,212.4633942
73.9,212.680488163,212.4703064
73.79999999999998,212.680548468,212.4612274
73.7,212.680608777,212.4640503
73.59999999999998,212.680669091,212.4725189
73.5,212.68072941,212.4772949
73.4,212.680789733,212.4827576
73.29999999999998,212.680850062,212.4878082
73.2,212.680910395,212.5023804
73.09999999999998,212.680970732,212.5062103
73.0,212.681031075,212.4792633
72.9,212.681091422,212.4684601
72.79999999999998,212.681151774,212.4810333
72.7,212.681212131,212.4797821
72.59999999999998,212.681272493,212.4706726
72.5,212.681332859,212.4645081
72.4,212.68139323,212.506958
72.29999999999998,212.681453606,212.5137482
72.2,212.681513986,212.5101471
72.09999999999998,212.681574371,212.481781
72.0,212.681634761,212.4976807
71.9,212.681695156,212.5004883
71.8,212.681755556,212.4934082
71.7,212.68181596,212.4800568
71.6,212.681876369,212.4864349
71.5,212.681936782,212.4829102
71.4,212.681997201,212.4798737
71.3,212.682057624,212.4775238
71.2,212.682118051,212.4707947
71.1,212.682178484,212.4449463
71.0,212.682238921,212.4620361
70.9,212.682299363,212.4739532
70.8,212.68235981,212.4706573
70.7,212.682420261,212.4540558
70.6,212.682480717,212.4423065
70.5,212.682541178,212.4451141
70.4,212.682601643,212.447403
70.3,212.682662113,212.4406891
70.2,212.682722588,212.4294739
70.1,212.682783068,212.4160004
70.0,212.682843552,212.4063568
69.9,212.682904041,212.4132843
69.8,212.682964535,212.4192352
69.7,212.683025033,212.4240265
69.6,212.683085536,212.4194031
69.5,212.683146044,212.4159393
69.4,212.683206556,212.3995056
69.3,212.683267073,212.4006805
69.2,212.683327595,212.3820648
69.1,212.683388121,212.3712616
69.0,212.683448652,212.368988
68.9,212.683509188,212.3554077
68.8,212.683569728,212.3809357
68.7,212.683630273,212.395401
68.6,212.683690823,212.3783569
68.5,212.683751377,212.3738556
68.4,212.683811936,212.397049
68.3,212.6838725,212.3996735
68.2,212.683933068,212.3867493
68.1,212.683993641,212.3953552
68.0,212.684054219,212.4126892
67.9,212.684114801,212.4166718
67.8,212.684175388,212.3953857
67.7,212.68423598,212.392395
67.6,212.684296576,212.3982086
67.5,212.684357177,212.3974457
67.4,212.684417782,212.3928223
67.3,212.684478393,212.3882141
67.2,212.684539007,212.3952484
67.1,212.684599627,212.4209137
67.0,212.684660251,212.3815155
66.9,212.684720879,212.3253632
66.8,212.684781513,212.3317413
66.7,212.684842151,212.3449707
66.6,212.684902793,212.3602905
66.5,212.68496344,212.364563
66.4,212.685024092,212.2917175
66.3,212.685084748,212.2883148
