chainage,true_wse,raster_value
0.0,212.6106467,212.4900055
0.0,212.6106467,212.4819946
0.0,212.6106467,212.5429993
0.0,212.6106467,212.5610046
0.0,212.6106467,212.6439972
0.1,212.6105524,212.5919952
0.2,212.610458,212.4940033
0.2,212.610458,212.5169983
0.3,212.6103637,212.5130005
0.4,212.6102693,212.5149994
0.5,212.610175,212.4909973
0.6,212.6100806,212.5
0.7,212.6099862,212.5249939
0.8,212.6098919,212.5209961
0.9,212.6097975,212.5039978
1.0,212.6097031,212.5119934
1.1,212.6096087,212.4929962
1.2,212.6095143,212.4559937
1.3,212.6094199,212.4329987
1.4,212.6093255,212.427002
1.5,212.6092311,212.4470062
1.6,212.6091367,212.447998
1.7,212.6090423,212.4600067
1.8,212.6089479,212.4689941
1.8,212.6089479,212.4570007
1.9,212.6088535,212.4629974
2.0,212.608759,212.4779968
2.1,212.6086646,212.5110016
2.2,212.6085702,212.5010071
2.3,212.6084757,212.4859924
2.4,212.6083813,212.4799957
2.5,212.6082869,212.5059967
2.6,212.6081924,212.5570068
2.7,212.608098,212.6049957
2.8,212.6080035,212.6130066
2.9,212.6079091,212.5240021
3.0,212.6078146,212.5429993
3.1,212.6077201,212.5359955
3.1,212.6077201,212.4660034
3.2,212.6076257,212.4519958
3.3,212.6075312,212.4530029
3.3,212.6075312,212.4539948
3.4,212.6074367,212.4559937
3.5,212.6073422,212.4499969
3.6,212.6072477,212.496994
3.7,212.6071533,212.4989929
3.8,212.6070588,212.4989929
3.9,212.6069643,212.4369965
4.0,212.6068698,212.4049988
4.1,212.6067753,212.3840027
4.2,212.6066808,212.3890076
4.3,212.6065862,212.3919983
4.4,212.6064917,212.4170074
4.5,212.6063972,212.4080048
4.6,212.6063027,212.404007
4.7,212.6062082,212.4160004
4.8,212.6061136,212.4420013
4.9,212.6060191,212.552002
5.0,212.6059245,212.3650055
5.1,212.60583,212.3580017
5.2,212.6057355,212.352005
5.3,212.6056409,212.3529968
5.4,212.6055463,212.3540039
5.5,212.6054518,212.3540039
5.6,212.6053572,212.3609924
5.7,212.6052627,212.3580017
5.8,212.6051681,212.3540039
5.9,212.6050735,212.3580017
6.0,212.6049789,212.3659973
6.0,212.6049789,212.3999939
6.1,212.6048843,212.397995
6.2,212.6047898,212.3890076
6.3,212.6046952,212.4019928
6.4,212.6046006,212.5720062
6.5,212.604506,212.5619965
6.6,212.6044114,212.4589996
6.7,212.6043168,212.3910065
6.8,212.6042221,212.3880005
6.9,212.6041275,212.3829956
7.0,212.6040329,212.375
7.1,212.6039383,212.4060059
7.2,212.6038437,212.4129944
7.3,212.603749,212.4649963
7.4,212.6036544,212.5160065
7.5,212.6035598,212.5420074
7.6,212.6034651,212.548996
7.7,212.6033705,212.503006
7.8,212.6032758,212.4620056
7.9,212.6031812,212.3860016
8.0,212.6030865,212.3760071
8.1,212.6029918,212.4069977
8.2,212.6028972,212.4089966
8.3,212.6028025,212.4170074
8.4,212.6027078,212.4689941
8.4,212.6027078,212.4700012
8.5,212.6026132,212.4440002
8.5,212.6026132,212.404007
8.6,212.6025185,212.3589935
8.7,212.6024238,212.3540039
8.8,212.6023291,212.3509979
8.9,212.6022344,212.348999
9.0,212.6021397,212.3439941
9.1,212.602045,212.3500061
9.2,212.6019503,212.345993
9.3,212.6018556,212.3880005
9.4,212.6017609,212.401001
9.5,212.6016662,212.401001
9.6,212.6015715,212.4689941
9.7,212.6014767,212.5780029
9.8,212.601382,212.5709991
9.9,212.6012873,212.5650024
10.0,212.6011925,212.5720062
10.1,212.6010978,212.5579987
10.2,212.601003,212.5769958
10.2,212.601003,212.6179962
10.3,212.6009083,212.6159973
10.4,212.6008135,212.5709991
10.5,212.6007188,212.5549927
10.6,212.600624,212.5299988
10.7,212.6005293,212.5099945
10.8,212.6004345,212.4980011
10.9,212.6003397,212.4949951
11.0,212.6002449,212.5200043
11.1,212.6001502,212.5059967
11.2,212.6000554,212.4730072
11.2,212.6000554,212.4779968
11.3,212.5999606,212.4920044
11.4,212.5998658,212.5
11.5,212.599771,212.5110016
11.6,212.5996762,212.5110016
11.7,212.5995814,212.5119934
11.8,212.5994866,212.5249939
11.9,212.5993918,212.5220032
12.0,212.599297,212.5149994
12.1,212.5992022,212.4940033
12.2,212.5991073,212.5039978
12.3,212.5990125,212.5119934
12.4,212.5989177,212.5370026
12.5,212.5988228,212.5390015
12.6,212.598728,212.5090027
12.7,212.5986332,212.4900055
12.8,212.5985383,212.4790039
12.8,212.5985383,212.4909973
12.9,212.5984435,212.4949951
13.0,212.5983486,212.4640045
13.1,212.5982537,212.451004
13.2,212.5981589,212.4219971
13.2,212.5981589,212.4129944
13.3,212.598064,212.4400024
13.4,212.5979692,212.4420013
13.5,212.5978743,212.4519958
13.6,212.5977794,212.4620056
13.7,212.5976845,212.4750061
13.7,212.5976845,212.4429932
13.8,212.5975896,212.4649963
13.9,212.5974947,212.4440002
14.0,212.5973998,212.4889984
14.1,212.597305,212.5200043
14.1,212.597305,212.5140076
14.2,212.5972101,212.5
14.3,212.5971151,212.6410065
14.4,212.5970202,212.8220062
14.5,212.5969253,212.7969971
14.6,212.5968304,212.7940063
14.7,212.5967355,212.7109985
14.8,212.5966406,212.7579956
14.9,212.5965456,212.7749939
15.0,212.5964507,212.8370056
15.1,212.5963558,212.826004
15.2,212.5962608,212.7449951
15.3,212.5961659,212.8300018
15.4,212.5960709,213.0010071
15.4,212.5960709,212.8800049
15.5,212.595976,213.0359955
15.6,212.595881,213.0149994
15.7,212.5957861,212.8339996
15.8,212.5956911,212.7630005
15.9,212.5955961,212.7709961
16.0,212.5955012,212.9019928
16.1,212.5954062,212.9279938
16.1,212.5954062,212.2400055
16.2,212.5953112,212.3390045
16.3,212.5952162,212.4450073
16.3,212.5952162,212.6040039
16.4,212.5951212,212.6170044
16.5,212.5950262,212.6940002
16.5,212.5950262,212.5370026
16.6,212.5949312,212.5679932
16.7,212.5948362,212.5859985
16.8,212.5947412,212.6300049
16.9,212.5946462,212.6589966
17.0,212.5945512,212.6589966
17.1,212.5944562,212.4389954
17.2,212.5943612,212.4530029
17.3,212.5942662,212.4109955
17.4,212.5941711,212.4389954
17.5,212.5940761,212.4109955
17.6,212.5939811,212.5610046
17.7,212.593886,212.4089966
17.8,212.593791,212.4299927
17.9,212.5936959,212.4080048
18.0,212.5936009,212.4109955
18.1,212.5935058,212.4250031
18.2,212.5934108,212.4309998
18.3,212.5933157,212.4049988
18.4,212.5932206,212.427002
18.5,212.5931256,212.4360046
18.6,212.5930305,212.3970032
18.7,212.5929354,212.4060059
18.8,212.5928403,212.4620056
18.9,212.5927453,212.5189972
19.0,212.5926502,212.6900024
19.1,212.5925551,212.6959991
19.2,212.59246,212.6470032
19.3,212.5923649,212.5330048
19.4,212.5922698,212.4689941
19.5,212.5921747,212.4490051
19.6,212.5920795,212.4499969
19.7,212.5919844,212.4409943
19.8,212.5918893,212.4429932
19.9,212.5917942,212.4530029
20.0,212.591699,212.4649963
20.1,212.5916039,212.5240021
20.2,212.5915088,212.5299988
20.3,212.5914136,212.522995
20.3,212.5914136,212.6629944
20.4,212.5913185,212.6380005
20.4,212.5913185,212.5700073
20.4,212.5913185,212.4700012
20.5,212.5912233,212.4559937
20.5,212.5912233,212.470993
20.6,212.5911282,212.4589996
20.7,212.591033,212.4730072
20.8,212.5909379,212.5010071
20.9,212.5908427,212.5070038
21.0,212.5907475,212.4839935
21.1,212.5906524,212.503006
21.2,212.5905572,212.5169983
21.3,212.590462,212.5590057
21.4,212.5903668,212.5630035
21.5,212.5902716,212.5709991
21.6,212.5901765,212.5469971
21.7,212.5900813,212.5890045
21.8,212.5899861,212.6080017
21.9,212.5898909,212.6139984
22.0,212.5897956,212.6109924
22.0,212.5897956,212.6100006
22.1,212.5897004,212.5410004
22.1,212.5897004,212.4490051
22.2,212.5896052,212.4519958
22.3,212.58951,212.4369965
22.4,212.5894148,212.4259949
22.4,212.5894148,212.4299927
22.5,212.5893195,212.447998
22.6,212.5892243,212.5639954
22.7,212.5891291,212.5200043
22.8,212.5890338,212.5200043
22.8,212.5890338,212.4880066
22.9,212.5889386,212.4550018
23.0,212.5888433,212.4609985
23.0,212.5888433,212.4609985
23.1,212.5887481,212.4459991
23.2,212.5886528,212.4389954
23.3,212.5885576,212.4380035
23.4,212.5884623,212.4550018
23.4,212.5884623,212.4689941
23.5,212.5883671,212.6199951
23.5,212.5883671,212.8220062
23.5,212.5883671,212.4519958
23.5,212.5883671,212.5070038
23.5,212.5883671,212.6119995
23.6,212.5882718,212.8159943
23.6,212.5882718,212.5749969
23.6,212.5882718,212.4850006
23.6,212.5882718,212.7339935
23.7,212.5881765,212.6750031
23.7,212.5881765,212.8000031
23.8,212.5880812,212.7949982
24.0,212.5878907,212.8379974
24.1,212.5877954,212.7859955
24.1,212.5877954,212.598999
24.2,212.5877001,212.5180054
24.3,212.5876048,212.6779938
24.3,212.5876048,212.8880005
24.4,212.5875095,212.9349976
24.5,212.5874142,212.970993
24.6,212.5873189,213.026001
24.7,212.5872236,212.9349976
24.8,212.5871282,212.8970032
24.9,212.5870329,212.9149933
25.0,212.5869376,212.9109955
25.0,212.5869376,212.7799988
25.1,212.5868423,212.6779938
25.2,212.5867469,212.3609924
25.3,212.5866516,212.378006
25.4,212.5865562,212.4170074
25.5,212.5864609,212.447998
25.6,212.5863656,212.4409943
25.7,212.5862702,212.3990021
25.8,212.5861748,212.3910065
25.9,212.5860795,212.4100037
26.0,212.5859841,212.4409943
26.1,212.5858887,212.5809937
26.2,212.5857934,212.4299927
26.3,212.585698,212.4179993
26.4,212.5856026,212.3789978
26.5,212.5855072,212.378006
26.5,212.5855072,212.3840027
26.6,212.5854118,212.3800049
26.6,212.5854118,212.3809967
26.6,212.5854118,212.3800049
26.7,212.5853165,212.3829956
26.7,212.5853165,212.3690033
26.8,212.5852211,212.3829956
26.8,212.5852211,212.3800049
26.9,212.5851257,212.3939972
27.0,212.5850303,212.4519958
27.0,212.5850303,212.4129944
27.0,212.5850303,212.4259949
27.0,212.5850303,212.4620056
27.0,212.5850303,212.4750061
27.1,212.5849348,212.4790039
27.2,212.5848394,212.4759979
27.3,212.584744,212.470993
27.4,212.5846486,212.4730072
27.5,212.5845532,212.4880066
27.5,212.5845532,212.4900055
27.6,212.5844577,212.496994
27.7,212.5843623,212.5119934
27.8,212.5842669,212.5339966
27.9,212.5841714,212.5339966
28.0,212.584076,212.4810028
28.1,212.5839806,212.4900055
28.2,212.5838851,212.5119934
28.3,212.5837896,212.4900055
28.4,212.5836942,212.4570007
28.5,212.5835987,212.4570007
29.0,212.5831213,212.4389954
29.1,212.5830259,212.6100006
29.2,212.5829304,213.0079956
29.2,212.5829304,212.4559937
29.3,212.5828349,212.4620056
29.4,212.5827394,212.4559937
29.5,212.5826439,212.4660034
29.6,212.5825484,212.503006
29.7,212.5824529,212.4949951
29.8,212.5823573,212.4830017
29.9,212.5822618,212.4810028
29.9,212.5822618,212.4799957
30.0,212.5821663,212.4989929
30.1,212.5820708,212.503006
30.2,212.5819753,212.5039978
30.3,212.5818797,212.496994
30.4,212.5817842,212.4819946
30.5,212.5816886,212.4810028
30.6,212.5815931,212.4759979
30.7,212.5814975,212.4839935
30.8,212.581402,212.4859924
30.9,212.5813064,212.4629974
31.0,212.5812109,212.4759979
31.1,212.5811153,212.4720001
31.2,212.5810197,212.4850006
31.3,212.5809242,212.4799957
31.4,212.5808286,212.4649963
31.5,212.580733,212.5359955
31.6,212.5806374,212.5410004
31.7,212.5805418,212.5350037
31.8,212.5804462,212.5399933
31.9,212.5803506,212.5399933
32.0,212.580255,212.4839935
32.0,212.580255,212.4570007
32.1,212.5801594,212.4490051
32.1,212.5801594,212.4329987
32.2,212.5800638,212.4790039
32.3,212.5799682,212.5429993
32.4,212.5798726,212.6710052
32.5,212.579777,212.7389984
32.6,212.5796814,212.6840057
32.7,212.5795857,212.5879974
32.8,212.5794901,212.5549927
32.9,212.5793945,212.4669952
33.0,212.5792988,212.4389954
33.1,212.5792032,212.3739929
33.1,212.5792032,212.3820038
33.2,212.5791075,212.397995
33.3,212.5790119,212.4309998
33.4,212.5789162,212.4530029
33.5,212.5788206,212.4579926
33.5,212.5788206,212.4519958
33.6,212.5787249,212.473999
33.7,212.5786292,212.4629974
33.8,212.5785336,212.4680023
